person,elements_key,elements_year,elements_city,elements_language_first,elements_format,elements_books,elements_claim_flags,elements_social_flags,non_elements_key,non_elements_year,non_elements_city,non_elements_language_first,non_elements_format,non_elements_subject_family,non_elements_claim_flags,non_elements_social_flags,year_gap,same_city,same_language_first,same_format
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,0,1,1,1
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YCXMIJ,1565,Paris,FRENCH,,Applied Mechanics/Military,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0,1,1,0
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YPQYIR,1565,Paris,FRENCH,,Applied Mechanics/Military,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0,1,1,0
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YQDZSW,1565,Paris,FRENCH,4,Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0,1,1,1
[No named author/editor],Basel_1546a,1546,Basel,DUTCH,2,,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,bib-222,1546,London,ENGLISH,,Arithmetic/Commerce,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,no_visible_social_arena,0,0,0,0
Christopher Clavius,Rome_1603,1603,Rome,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,bib-6,1604,Rome,LATIN,,Geometry/Theory,,religious_institutional_arena,1,1,1,0
Jacques Ozanam,Paris_1693,1693,Paris,FRENCH,8,"1–6, 11–12",claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-250,1694,Paris,FRENCH,,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,,no_visible_social_arena,1,1,1,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,1,1,1,1
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YCXMIJ,1565,Paris,FRENCH,,Applied Mechanics/Military,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YPQYIR,1565,Paris,FRENCH,,Applied Mechanics/Military,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YQDZSW,1565,Paris,FRENCH,4,Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,1
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,1,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YCXMIJ,1565,Paris,FRENCH,,Applied Mechanics/Military,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YPQYIR,1565,Paris,FRENCH,,Applied Mechanics/Military,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YQDZSW,1565,Paris,FRENCH,4,Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,1,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,YCXMIJ,1565,Paris,FRENCH,,Applied Mechanics/Military,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,YPQYIR,1565,Paris,FRENCH,,Applied Mechanics/Military,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,YQDZSW,1565,Paris,FRENCH,4,Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,1,1,1,0
Thomas Rudd,London_1651,1651,London,ENGLISH,4,1–6,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; military_fortification_arena; professional_practical_arena,bib-133,1650,London,ENGLISH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,claim_method_demonstration_order; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_visual_material_aids; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; professional_practical_arena; learned_scholarly_arena,1,1,1,0
[No named author/editor],Paris_1626b,1626,Paris,LATIN,6,,claim_ancient_authority_restoration,no_visible_social_arena,ustc-4,1625,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,general_public_lovers_arena,1,1,0,0
Claude-François Milliet Dechales,Lyon_1675,1675,Lyon,LATIN,6,"1–6, 11–12",claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_ancient_authority_restoration,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,2,0,0,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-18,1613,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,2,1,1,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-3,1617,Paris,FRENCH,,Geometry/Theory,,learned_scholarly_arena,2,1,1,0
Denis Henrion,Paris_1632,1632,Paris,FRENCH,4,1-15,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,MorisS-16-11,1630,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,learned_scholarly_arena,2,1,1,0
Federico Commandino,Pesaro_1572,1572,Pesaro,LATIN,2,1-15,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,bib-42,1570,Pesaro,LATIN,,Geometry/Theory,,no_visible_social_arena,2,1,1,0
Honorat de Meynier,Paris_1624,1624,Paris,FRENCH,8,"7-9, 1-3, 6, 13-14",claim_method_demonstration_order; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,Paris_1626,1626,Paris,FRENCH,4,Geometry/Theory | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,2,1,1,0
Jacques Ozanam,Paris_1693,1693,Paris,FRENCH,8,"1–6, 11–12",claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-80,1691,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement,claim_utility_practice_application; claim_augmentation_enrichment_composition,professional_practical_arena,2,1,1,0
Jean Errard,Paris_1598a,1598,Paris,FRENCH,8,1-6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,bib-280,1600,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,,court_state_service_arena; professional_practical_arena,2,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0NKS71,1568,Paris,FRENCH,8,Instruments/Measurement,claim_method_demonstration_order,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena; patronage_prestige_arena,2,1,1,1
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,0NKS71,1568,Paris,FRENCH,8,Instruments/Measurement,claim_method_demonstration_order,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena; patronage_prestige_arena,2,1,1,1
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,bib-263,1558,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,2,1,1,0
Pierre Hérigone,Paris_1644,1644,Paris,FRENCH,8,1–6,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,no_visible_social_arena,MorisS-17-3,1642,Paris,LATIN,,Geometry/Theory,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_visual_material_aids,no_visible_social_arena,2,1,0,0
Pierre Hérigone,Paris_1644b,1644,Paris,FRENCH,8,1-15,claim_method_demonstration_order; claim_augmentation_enrichment_composition,learned_scholarly_arena,MorisS-17-3,1642,Paris,LATIN,,Geometry/Theory,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_visual_material_aids,no_visible_social_arena,2,1,0,0
Pierre de la Ramée,Paris_1545,1545,Paris,LATIN,8,1-15,claim_ancient_authority_restoration,no_visible_social_arena,bib-177,1543,Paris,LATIN,,No primary family,,no_visible_social_arena,2,1,1,0
Christopher Clavius,Frankfurt_1607,1607,Frankfurt,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,bib-6,1604,Rome,LATIN,,Geometry/Theory,,religious_institutional_arena,3,0,1,0
Christopher Clavius,Rome_1589,1589,Rome,LATIN,8,1-16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,X2T7PY,1586,Rome,LATIN,,Instruments/Measurement,claim_augmentation_enrichment_composition,religious_institutional_arena,3,1,1,0
Claude-François Milliet Dechales,Lyon_1674,1674,Lyon,LATIN,4,"1–6, 11–12",claim_utility_practice_application; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,3,0,0,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-3,1618,Paris,FRENCH,,Instruments/Measurement,,no_visible_social_arena,3,1,1,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-33,1618,Paris,FRENCH,,Instruments/Measurement,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,learned_scholarly_arena,3,1,1,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-59,1618,Paris,FRENCH,,No primary family,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,learned_scholarly_arena,3,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,MorisS-16-5,1620,Paris,FRENCH,,Cosmos/Earth,,no_visible_social_arena,3,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,MorisS-16-6,1620,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,3,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,ustc-23,1626,Paris,FRENCH,,Geometry/Theory,,learned_scholarly_arena,3,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,ustc-50,1626,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce,,no_visible_social_arena,3,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,ustc-55,1620,Paris,FRENCH,,Instruments/Measurement | Cosmos/Earth,claim_augmentation_enrichment_composition,no_visible_social_arena,3,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,ustc-58,1620,Paris,FRENCH,,Geometry/Theory,,no_visible_social_arena,3,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,MorisS-16-10,1627,Lyon,FRENCH,,No primary family,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_visual_material_aids,no_visible_social_arena,3,0,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,ustc-26,1627,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids; claim_selection_extraction_abridgment,learned_scholarly_arena; patronage_prestige_arena,3,1,1,0
Jacques Ozanam,Amsterdam_1697,1697,Amsterdam,FRENCH,8,"1–6, 11–12",claim_correction_revision_accuracy,military_fortification_arena; general_public_lovers_arena,bib-250,1694,Paris,FRENCH,,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,,no_visible_social_arena,3,0,1,0
Jacques Ozanam,Amsterdam_1697,1697,Amsterdam,FRENCH,8,"1–6, 11–12",claim_correction_revision_accuracy,military_fortification_arena; general_public_lovers_arena,bib-58,1700,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,no_visible_social_arena,3,0,1,0
Jacques Ozanam,Paris_1697,1697,Paris,FRENCH,8,"1–6, 11–12",claim_correction_revision_accuracy; claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-250,1694,Paris,FRENCH,,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,,no_visible_social_arena,3,1,1,0
Jacques Ozanam,Paris_1697,1697,Paris,FRENCH,8,"1–6, 11–12",claim_correction_revision_accuracy; claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-58,1700,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,no_visible_social_arena,3,1,1,0
Jacques Peletier,Lyon_1557,1557,Lyon,LATIN,2,1-6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,court_state_service_arena; religious_institutional_arena; patronage_prestige_arena,bib-15,1554,Lyon,FRENCH,,Arithmetic/Commerce,claim_augmentation_enrichment_composition,no_visible_social_arena,3,1,0,0
Jan Pietersz Dou,Rotterdam_1661,1661,Rotterdam,DUTCH,8,1–6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids; claim_selection_extraction_abridgment,general_public_lovers_arena,bib-205,1664,Dordrecht,DUTCH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,,no_visible_social_arena,3,0,1,0
Jean Errard,Paris_1605,1605,Paris,FRENCH,8,1-9,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,ustc-29,1602,Paris,FRENCH,,Geometry/Theory,,court_state_service_arena; professional_practical_arena,3,1,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-12,1647,Paris,LATIN,,Cosmos/Earth,claim_augmentation_enrichment_composition,no_visible_social_arena,3,1,1,0
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0NKS71,1568,Paris,FRENCH,8,Instruments/Measurement,claim_method_demonstration_order,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena; patronage_prestige_arena,3,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,YBCWZV,1569,Paris,FRENCH,4,Instruments/Measurement,claim_method_demonstration_order,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,3,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,YBCWZV,1569,Paris,FRENCH,4,Instruments/Measurement,claim_method_demonstration_order,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,3,1,1,0
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,0CKY65,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,no_visible_social_arena,3,1,1,1
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,6AMYTJ,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order; claim_selection_extraction_abridgment,no_visible_social_arena,3,1,1,1
Pierre Hérigone,Paris_1639,1639,Paris,FRENCH,8,1–6,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,no_visible_social_arena,MorisS-17-3,1642,Paris,LATIN,,Geometry/Theory,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_visual_material_aids,no_visible_social_arena,3,1,0,0
[No named author/editor],s.l_1650,1650,,LATIN,8,1-6,,no_visible_social_arena,ustc-17,1647,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,3,0,0,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-4,1619,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy,no_visible_social_arena,4,1,1,0
