person,elements_key,elements_year,elements_city,elements_language_first,elements_format,elements_books,elements_claim_flags,elements_social_flags,non_elements_key,non_elements_year,non_elements_city,non_elements_language_first,non_elements_format,non_elements_subject_family,non_elements_claim_flags,non_elements_social_flags,year_gap,same_city,same_language_first,same_format,control_level,same_format_strict,elements_short_title,non_elements_short_title,elements_publisher,non_elements_publisher,elements_rich_claim_text,non_elements_rich_claim_text,elements_rich_social_text,non_elements_rich_social_text,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social
Jacques Ozanam,Paris_1693,1693,Paris,FRENCH,8,"1–6, 11–12",claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-250,1694,Paris,FRENCH,,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,,no_visible_social_arena,1,1,1,0,same_person_city_language_within_5y,0,Cours de mathematique,,Jean Jombert,Jean Jombert,"comprend | contient | à un homme de guerre, & à tous ceux qui se veulent perfectionner dans les mathematiques | les elemens d’euclide | professeur des mathematiques | les elemens d’euclide | euclide","plusieurs problêmes d’arithmetique, de geome- trie, d’optique, de gnomonique, de cosmo- graphie, de mecanique, de pyrotechnié, & de physique | professeur des mathematiques | un traité nouveau des horloges elementaires | traité nouveau des horloges elementaires","à un homme de guerre, & à tous ceux qui se veulent perfectionner dans les mathematiques | professeur des mathematiques",professeur des mathematiques,claim_ancient_authority_restoration,,,general_public_lovers_arena; military_fortification_arena,no_visible_social_arena,
Jacques Ozanam,Paris_1697,1697,Paris,FRENCH,8,"1–6, 11–12",claim_correction_revision_accuracy; claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-250,1694,Paris,FRENCH,,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,,no_visible_social_arena,3,1,1,0,same_person_city_language_within_5y,0,,,Jean Jombert,Jean Jombert,reveue | corrige'e | un homme de guerre | tous ceux qui se veulent perfectionner dans cette science | les elemens d’euclide | nouvelle edition reveue et corrige'e | professeur des mathematiques | les elemens d’euclide | euclide,"plusieurs problêmes d’arithmetique, de geome- trie, d’optique, de gnomonique, de cosmo- graphie, de mecanique, de pyrotechnié, & de physique | professeur des mathematiques | un traité nouveau des horloges elementaires | traité nouveau des horloges elementaires",un homme de guerre | tous ceux qui se veulent perfectionner dans cette science | professeur des mathematiques,professeur des mathematiques,claim_ancient_authority_restoration; claim_correction_revision_accuracy,,,general_public_lovers_arena; military_fortification_arena,no_visible_social_arena,
Jean Errard,Paris_1598a,1598,Paris,FRENCH,8,1-6,claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,bib-280,1600,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,,court_state_service_arena; professional_practical_arena,2,1,1,0,same_person_city_language_within_5y,0,Les six premiers livres des Éléments d’Euclide,La fortification reduicte en art,Guillaume Auvray,,tradvicts | commentez | dediez | les six premiers livres des elemens d’evclide | ingenieur du tres -chrestien roy de france & de nauarre | les six premiers livres des elemens d’evclide | tradvicts | commentez | d’evclide,redvicte | ingenieur du treschrestien roy de france et de navarre,ingenieur du tres -chrestien roy de france & de nauarre | sa maiesté,ingenieur du treschrestien roy de france et de navarre | sa maiesté,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,,,,,court_state_service_arena; professional_practical_arena
Jean Errard,Paris_1605,1605,Paris,FRENCH,8,1-9,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,ustc-29,1602,Paris,FRENCH,,Geometry/Theory,,court_state_service_arena; professional_practical_arena,3,1,1,0,same_person_city_language_within_5y,0,Les nevf premiers livres des elemens,La geometrie et practique generalle d'icelle. Au tres-chrestien roy de France et de Navarre,Guillaume Auvray,,tradvits | commentez | dediez | reueus | corrigez | les nevf premiers livres des elemens d’evclide | reueus & corrigez | ingenieur du tres- chrestien roy de france & de nauarre | les nevf premiers livres des elemens d’evclide | commentez | d’evclide,la geometrie et practiqve generalle d'icelle | et practiqve generalle d'icelle | seconde edition | ingenieur ordinaire de ſa maieſté,ingenieur du tres- chrestien roy de france & de nauarre | sa maiesté,ingenieur ordinaire de ſa maieſté | tref-chreſtien roy de france & de nauarre,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_selection_extraction_abridgment,,,,,court_state_service_arena; professional_practical_arena
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-10,1644,Paris,LATIN,,Geometry/Theory,,no_visible_social_arena,0,1,1,0,same_person_city_language_within_5y,0,,"Universae geometriae, mixtaeque mathematicae synopsis",Antoine Bertier,Antoine Bertier,studio & operâ,,studio & operâ,,,,,,,no_visible_social_arena
Oronce Finé,Paris_1536,1536,Paris,LATIN,2,1-6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,Paris_1532,1532,Paris,LATIN,,Geometry/Theory,claim_utility_practice_application,pedagogical_school_arena; learned_scholarly_arena,4,1,1,0,same_person_city_language_within_5y,0,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,Protomathesis,Simon de Colines,,insertus est | recognita | sex priores libros geometricorum elementorum euclidis megarensis | demonstrationes | regii mathematicarum professoris | bartholamæi zamberti veneti | sex priores libros geometricorum elementorum euclidis megarensis | ipsius euclidis textus græcus | interpretatione latina bartholamæi zamberti veneti | euclidis megarensis | græcus | latina | euclidis megarensis | ipsius euclidis,"feliciter emissum | protomathesis | opus varium, ac scitu non minus utile quàm iucundum | nunc primum in lucem feliciter emissum | liberalium disciplinarum professoris regii",regii mathematicarum professoris | bartholamæi zamberti veneti,liberalium disciplinarum professoris regii,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_translation_vernacularization_transfer,claim_utility_practice_application,,,,learned_scholarly_arena; pedagogical_school_arena
Pierre Bourdín,Paris_1643,1643,Paris,FRENCH,12,?,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,no_visible_social_arena,bib-37,1639,Paris,FRENCH,,Applied Mechanics/Military,,no_visible_social_arena,4,1,1,0,same_person_city_language_within_5y,0,,,François Pelican,François Pélican,"tiré | rengez | demonstrez | ceux qui commencent d’apprendre les mathematiques | elémens d’euclide | d’une façon plus briefue, & plus facile que l’ordinaire | p | elémens d’euclide | euclide",,ceux qui commencent d’apprendre les mathematiques | compagnie de iesvs | p,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_method_demonstration_order; claim_selection_extraction_abridgment,,,,,no_visible_social_arena
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,0,1,1,1,same_person_city_language_within_5y,1,"Les septième, huitième et neuvième livres des Éléments d’Euclide",Arithmetique entiere et abregee ,Charles Perier,Charles Périer,"comprenans | traduits | com- mentez | tradvict | commenté | intitulé | les septieme, hvictieme et nevfieme, livres des elemens d’evclide | liure d’euclide | comprenans tovte la scien- ce des nombres | du leger & du pesant | tradvict et commenté | lecteur ordinaire du roy és mathema- tiques, en l’vni- uersité de paris | lecteur ordinaire du roy es mathematiques en l’vniuersité de paris | les septieme, hvictieme et nevfieme, livres des elemens d’evclide | liure d’euclide | com- mentez | traduict & commenté | le livre d’archimede des pois | le livre d’archimede des pois | d’evclide | liure d’euclide",abregee | arithmetiqve | entiere et abregee | lectevr dv roy es mathematiqves,"vni- uersité de paris | l’vniuersité de paris | lecteur ordinaire du roy és mathema- tiques, en l’vni- uersité de paris | lecteur ordinaire du roy es mathematiques en l’vniuersité de paris",lectevr dv roy es mathematiqves,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,claim_selection_extraction_abridgment,,general_public_lovers_arena; learned_scholarly_arena; pedagogical_school_arena,,court_state_service_arena
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,1,1,1,1,same_person_city_language_within_5y,1,"Les six premiers livres des Éléments d’Euclide, traduits et commentés",Arithmetique entiere et abregee ,"Jérôme de Marnef, Guillaume Cauellat",Charles Périer,tradvicts | commentez | les six premiers livres des elements d’ev- clide | lecteur ordi- naire du roy és mathema- tiques en l’vniuersité de paris | les six premiers livres des elements d’ev- clide | ev- clide,abregee | arithmetiqve | entiere et abregee | lectevr dv roy es mathematiqves,l’vniuersité de paris | lecteur ordi- naire du roy és mathema- tiques en l’vniuersité de paris,lectevr dv roy es mathematiqves,claim_augmentation_enrichment_composition,,claim_selection_extraction_abridgment,general_public_lovers_arena; learned_scholarly_arena; pedagogical_school_arena,,court_state_service_arena
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,1,1,1,0,same_person_city_language_within_5y,0,Les six premiers livres des Éléments d’Euclide,Arithmetique entiere et abregee ,Charles Perier,Charles Périer,traduictz | les six premiers livres des ele- ments d’euclide | lecteur du roy és ma- thematiques | les six premiers livres des ele- ments d’euclide | euclide,abregee | arithmetiqve | entiere et abregee | lectevr dv roy es mathematiqves,lecteur du roy és ma- thematiques,lectevr dv roy es mathematiqves,claim_ancient_authority_restoration,,claim_selection_extraction_abridgment,general_public_lovers_arena; learned_scholarly_arena; pedagogical_school_arena,,court_state_service_arena
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,UEIZFO,1565,Paris,FRENCH,4,Arithmetic/Commerce,claim_selection_extraction_abridgment,court_state_service_arena,1,1,1,0,same_person_city_language_within_5y,0,Le livre de la musique,Arithmetique entiere et abregee ,Charles Perier,Charles Périer,traduit | le liure de la mu- sique d'euclide | le liure de la mu- sique d'euclide | euclide,abregee | arithmetiqve | entiere et abregee | lectevr dv roy es mathematiqves,,lectevr dv roy es mathematiqves,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,claim_selection_extraction_abridgment,,no_visible_social_arena,court_state_service_arena,
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,bib-263,1558,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,2,1,1,0,same_person_city_language_within_5y,0,L'arithmetique ,L'arithmetique par les gects,Guillaume Cavellat,"Benoît Prévost, Guillaume Cavellat",traduite | illustrée | l'arithmetiqve de gemme phrison | professeur ordinaire des mathe- matiques | de comme- taires | plusieurs inuentions nouuelles dudit forcadel | en françois,l'arithmetique | par les gects,professeur ordinaire des mathe- matiques,,claim_translation_vernacularization_transfer,,,,,no_visible_social_arena
Pierre de la Ramée,Paris_1545,1545,Paris,LATIN,8,1-15,claim_ancient_authority_restoration,no_visible_social_arena,bib-177,1543,Paris,LATIN,,No primary family,,no_visible_social_arena,2,1,1,0,same_person_city_language_within_5y,0,Elementa mathematica,"Dialecticae institutiones, ad celeberrimam, et illustrissimam Lutetiae Parisiorum Academiam",Ludouicus Grandinus,Jacques Bogard,euclides,,,lutetiae parisiorum aca­ demiam,claim_ancient_authority_restoration,,,,,no_visible_social_arena
Thomas Rudd,London_1651,1651,London,ENGLISH,4,1–6,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; military_fortification_arena; professional_practical_arena,bib-133,1650,London,ENGLISH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,claim_method_demonstration_order; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_visual_material_aids; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; professional_practical_arena; learned_scholarly_arena,1,1,1,0,same_person_city_language_within_5y,0,"Euclides Elements of geometry: the first VI books: in a compendious form contracted and demonstrated. By Captain Thomas Rudd, chiefe engineer to his late Majesty. Whereunto is added, the mathematicall preface of Mr. John Dee.","Practical geometry, in two parts: the first, shewing how to perform the four species of arithmetick, (viz. addition, substraction [sic], multiplication, and division,) together with reduction, and the rule of proportion in figures. The second, containing",Richard Tomlins and Robert Boydell,Robert Leybourn,contracted | demonstrated | added | euclides elements of geometry: the first vi books | of geometry | captain | chiefe engineer to his late majesty | mr. john dee | euclides elements of geometry | the mathematicall preface of mr. john dee | euclides,"a worke very necessary for all men, but principally for surveyors of land, engineers, and all other students in the mathematicks | practical geometry | in two parts: the first, shewing how to perform the four species of arithmetick, (viz. addition, substraction, multiplication, and division,) together with reduction, and the rule of proportion in figures. the second, containing a hundred geometricall questions, with their solutions and demonstrations, some of them being performed arithmetically, and others geometri- cally, yet all without the help of algebra. a worke very necessary for all men, but principally for surveyors of land, engineers, and all other students in the mathematicks | chief engineer to his late majesty",captain | chiefe engineer to his late majesty | mr. john dee,"a worke very necessary for all men, but principally for surveyors of land, engineers, and all other students in the mathematicks | chief engineer to his late majesty",claim_ancient_authority_restoration,claim_utility_practice_application; claim_visual_material_aids,claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_selection_extraction_abridgment,military_fortification_arena,learned_scholarly_arena; pedagogical_school_arena,court_state_service_arena; professional_practical_arena
