bucket,classification_key,title_page_keys,year,city,language,primary_classes,secondary_classes,active_values,why_it_matters,evidence,status
enrichment_composite,MorisS-16-1,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,Instrument Use,utility_use | correction_revision | enrichment_addition | community_professional,"Composite practical/military mathematical edition: reviewed, corrected, augmented, fortification treatise.","audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑perficies & Corps ; Pratique du Compas de proportions ; & de la Conſtruction des Fo ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées aux pays bas ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; bound_with_minimal: Fortifications de Monſieur Errard ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe",ok
enrichment_composite,35H84Y,35H84Y,1642,Bologna,LATIN,Mechanics,Practical Geometry,utility_use | novelty_invention | enrichment_addition | community_professional,Evclides Applicatus as expansive applied Euclid/mechanics case for many professions.,"audience: Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus ; institutions: Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio ; action_verbs: traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus ; enriched_with: noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum numerosa | speciosa varietate ornatum | gemino copiosissimo Indice ; bound_with_minimal: EVCLIDES APPLICATVS ; elements_designation: EVCLIDES APPLICATVS ; references_to_euclid: EVCLIDES | Euclideorum",ok
enrichment_composite,Mainz_1611_1612,Mainz_1611_1612,1611/1612,Mainz,LATIN,Arithmetic | Practical Geometry | Theoretical Mathematics | Trigonometry,,demonstration_method,"Jesuit Clavius/EUCLID package with arithmetic, practical geometry, theory, trigonometry, bound-with scholarly apparatus.","institutions: Societate IESV ; edition_details: denuo correcta, et plurimis locis aucta ; action_verbs: distributa | denuo correcta | aucta ; bound_with_minimal: Commentaria In Euclidis Ele-menta Geometrica | Sphærica Theodosij | Sinuum | Tangentium | Secantium | Tractationem triangulorum ; educational_authorities_references: Theodosij ; elements_designation: Euclidis Ele-menta Geometrica ; references_to_euclid: Euclidis",ok
euclid_authority_identity,London_1685a,London_1685a,1685,London,ENGLISH,,,clarity_ease | utility_use | correction_revision | novelty_invention | demonstration_method | enrichment_addition | restoration_ancient_authority,"Euclid in English as explained/demonstrated in an easy method, with uses in mathematics.","content_description: Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS ; edition_details: Done out of FRENCH, Corrected and Augmented ; action_verbs: Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated ; enriched_with: Illustrated with Nine Copper Plates | the Effigies of EVCLID ; elements_designation: THE ELEMENTS OF EUCLID ; references_to_euclid: EUCLID | EVCLID ; origin_language: FRENCH",ok
euclid_authority_identity,Lausanne_1683,Lausanne_1683,1683,Lausanne,FRENCH,,,clarity_ease | novelty_invention | demonstration_method,French Euclid/Elements with new easy method and uses of propositions.,content_description: EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques ; action_verbs: EXPLIQVEZ ; enriched_with: AVEC L’VSAGE DE CHAQVE Proposition ; elements_designation: LES ELEMENS D’EUCLIDE ; references_to_euclid: EUCLIDE,ok
euclid_authority_identity,Graz_1636,Graz_1636,1636,Graz,LATIN,,Trigonometry,enrichment_addition | community_professional,Euclid/Clavius contracted into a more convenient form; good for condensation/pedagogical form.,institutions: SOC IETATE JESU | EIVSDEM SOCIETATIS ; content_description: Ex majoribus Clavij com-mentarijs in commodiorem formam contracti ; action_verbs: contracti | Accessit ; bound_with_minimal: BREVIS TRIGNONOMEtria ; elements_designation: EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICORUM LIBRI CUM PARTE UNDECIMI ; references_to_euclid: EVCLIDIS,ok
elements_without_simple_euclid,Paris_1667,Paris_1667 | The_Hague_1683,1667,Paris,FRENCH,Theoretical Mathematics,,correction_revision | novelty_invention,Nouveaux Elemens de Geometrie: elements language and novelty beyond simple Euclid framing.,"content_description: Outre un ordre tout nouveau, & de nouvelles demonstrations des propositions les plus com- munes,  De nouveaux moyens de faire voir quelles lignes sont incommensurables,  De nouvelles mesures de l’angle, dont on ne s’estoit point encore avisé,  Et de nouvelles  ; edition_details: SECONDE EDITION ; action_verbs: contenant | CONTENANT ; enriched_with: de nouvelles demonstrations des propositions les plus com- munes | De nouveaux moyens de faire voir quelles lignes sont incommensurables | De nouvelles mesures de l’angle, dont on ne s’estoit point encore avisé | Et de nouvelles manières de trouver & de demons ; bound_with_minimal: Traité tout nouveau des Proportions ; elements_designation: NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE",ok
elements_without_simple_euclid,KVSFF1,KVSFF1 | Paris_1794,1799,Paris,FRENCH,Theoretical Mathematics,Trigonometry,correction_revision | enrichment_addition,"Late Elements de Geometrie with notes/institutional context, useful for broader elements vocabulary.","institutions: Institut national ; edition_details: SECONDE ÉDITION REVUE, CORRIGÉE ET AUGMENTÉE DE LA TRIGONOMÉTRIE ; action_verbs: REVUE | CORRIGÉE | AUGMENTÉE ; enriched_with: AVEC DES NOTES ; elements_designation: ÉLÉMENTS DE GÉOMÉTRIE | ÉLÉMENTS DE   GÉOMÉTRIE",ok
thin_or_suppressed_social,Alcala_1637,Alcala_1637,1637,Alcala,"DUTCH, LATIN",,,,Euclid/Elements title identity with little/no positive subject classification; useful calibration case.,content_description: PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS ; action_verbs: Traducido | comentado ; elements_designation: ELEMENTOS GEOMETRICOS DE EVCLIDES ; references_to_euclid: EVCLIDES,ok
thin_or_suppressed_social,Cologne_1580,Cologne_1580 | Cologne_1587,1580,Cologne,LATIN,,,enrichment_addition | community_professional,Euclid Elements identity with subject-label silence; useful for what the classifier suppresses and what TPS preserves.,"content_description: Quibus, cùm ad omnem Mathematicæ scientiæ partem, tùm ad quamlibet Geometriæ tractationem, facilis comparatur aditus ; elements_designation: EVCLIDIS ELEMENTORVM LIBRI XV ; references_to_euclid: EVCLIDIS",ok
