review_priority,review_id,Page/Key,Feature Name,v8_feature_id,comparison_target_source,comparison_target,v8_value,comparison_score,error_type,v6_focus_area,v7_policy_question,codex_recommendation,final value
P1_new_policy_boundary,R0099,Amsterdam_1660,Place in Imprint,location_in_imprint,working_final_value,t’AMSTELDAM,t’AMSTELDAM,exact_set,,imprint_scope_or_span,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.",Prefer full address/place phrase under the new V7 rule; split multiple values with semicolons.,
P1_new_policy_boundary,R0067,Amsterdam_1626,Verbs,action_verbs,working_final_value,"Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert",ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert,partial_overlap,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,No prior human target; please adjudicate from the candidates.,
P1_new_policy_boundary,R0122,Amsterdam_1662,Verbs,action_verbs,working_final_value,"Overgeset, vergroot, verrijckt",Overgeset | Vertaelt | vergroot | verrijckt,partial_overlap,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,No prior human target; please adjudicate from the candidates.,
P1_new_policy_boundary,R0201,Amsterdam_1700b,Verbs,action_verbs,working_final_value,"Over-geset, verklaart, uyt-geleyt, verbeteret",by-gevoeght | Over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde,partial_overlap,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0092,Amsterdam_1660,Base Content,base_content,working_final_value,SES EERSTE BOEKKEN,EUKLIDES SES EERSTE BOEKKEN,span_contains,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0105,Amsterdam_1662,Base Content,base_content,working_final_value,ELEMENTEN Van Euclidis,De 15 Boecken der ELEMENTEN Van Euclidis,span_contains,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0127,Amsterdam_1683,Bound With,bound_with,working_final_value,EX ARCHIMEDE THEOREMATA,selecta EX ARCHIMEDE THEOREMATA,span_contains,,prompt_choice_policy,"Which additional bound works should be captured, excluding the core Euclid title? Separate distinct works with semicolons.",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0145,Amsterdam_1695,Bound With,bound_with,working_final_value,"15
Boeken, 16 Boek Fr. Flussatis Candallæ",16 Boek Fr. Flussatis Candallæ,target_contains,,prompt_choice_policy,"Which additional bound works should be captured, excluding the core Euclid title? Separate distinct works with semicolons.",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0060,Amsterdam_1626,Edition Statement,edition_details,working_final_value,"Van nieus over-sien, ende verbetert, breeder verclaert","Van nieus over-sien, ende verbetert",target_contains,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0112,Amsterdam_1662,Edition Statement,edition_details,working_final_value,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",En nu vergroot deor J. V. L,target_contains,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0176,Amsterdam_1700,Edition Statement,edition_details,working_final_value,"NOUVELLE EDITION, Reveuë & corrigée",NOUVELLE EDITION | Reveuë & corrigée,target_contains,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0250,Antwerp_1654,Elements Designation,elements_designation,working_final_value,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,exact_set,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0281,Arnhem_1603,Elements Designation,elements_designation,working_final_value,Elementorum libris,"IN GEOMETRIAM EVCLIDIS prioribus sex
Elementorum libris",span_contains,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0293,Arnhem_1605,Elements Designation,elements_designation,working_final_value,Elementorum libris,"ARITHMETICAM RATIO-
NALIVM
EVCLIDIS",different,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0064,Amsterdam_1626,Intended Audience,audience,working_final_value,van alle leergierighe liefhebbers der selver vryer Conste.,alle leergierighe liefhebbers der selver vryer Conste,target_contains,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0167,Amsterdam_1697,Intended Audience,audience,working_final_value,"à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.",un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science,target_contains,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0198,Amsterdam_1700b,Intended Audience,audience,working_final_value,van alle leer-gierige Liefhebbers der selver vrye Konste,van alle leer-gierige Liefhebbers der selver vrye Konste,exact_set,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,No prior human target; please adjudicate from the candidates.,
P2_unreviewed_focus_case,R0297,Arnhem_1605,Publisher in Imprint,publisher_in_imprint,working_final_value,IOHANNEM IANSONIVM,IOHANNEM IANSONIVM,exact_set,,imprint_scope_or_span,"What is the exact publisher/printer phrase, excluding place/date/address/privilege unless part of the name?",No prior human target; please adjudicate from the candidates.,
P3_spot_check_v6_win,R0316,Augsburg_1555,Base Content,base_content,orig,"Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis","das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis",exact_set,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.","Previous reviewed target (orig): Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis",
P3_spot_check_v6_win,R0483,Bologna_1651,Base Content,base_content,orig,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,exact_set,,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,
P3_spot_check_v6_win,R0179,Amsterdam_1700,Euclid References,references_to_euclid,working,EUCLIDE,EUCLIDE,exact_set,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?",Previous reviewed target (working): EUCLIDE,
P3_spot_check_v6_win,R0294,Arnhem_1605,Euclid References,references_to_euclid,working,EVCLIDIS,EVCLIDIS,exact_set,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?",Previous reviewed target (working): EVCLIDIS,
P3_spot_check_v6_win,R0180,Amsterdam_1700,Institutions,institutions,working,Compagnie de JESUS,Compagnie de JESUS,exact_set,,minimal_vs_full_span,"What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?",Previous reviewed target (working): Compagnie de JESUS,
P3_spot_check_v6_win,R0327,Augsburg_1555,Institutions,institutions,working,vniuersitet zü Tübingen,vniuersitet zü Tübingen,exact_set,,minimal_vs_full_span,"What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?",Previous reviewed target (working): vniuersitet zü Tübingen,
P3_spot_check_v6_win,R1179,London_1651,Other Educational Authorities,educational_authorities_references,working,MR. JOHN DEE,MR. JOHN DEE,exact_set,,minimal_vs_full_span,"Enter the exact value V7 should learn for this feature, or leave blank if no value should be returned.",Previous reviewed target (working): MR. JOHN DEE,
