review_priority,v7_policy_question,codex_recommendation,reviewer_v7_value,reviewer_target_feature,reviewer_status,reviewer_notes,review_id,Page/Key,Language,Feature Name,decision_tier,v6_focus_area,Value_orig,Value_llm,Value_llm5,working_final_value,Value_llm6,v6_target,v6_target_source,v6_exact_match,v6_missing,preferred_source,error_type,human_final_value,human_notes
P1_v6_mismatch_human_target,"Which additional bound works should be captured, excluding the core Euclid title? Separate distinct works with semicolons.","Previous reviewed target (custom_preferred_source): ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",,Bound With,,,R0224,Antwerp_1645,LATIN,Bound With,E_single_llm_over_manual,prompt_choice_policy,"ISIDORVM ET HYPSICLEM, PROCLI PROPOSITIONES GEO-METRICAS","HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",,"HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS","HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS","ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",custom_preferred_source,0,0,"ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",other value,,
P1_v6_mismatch_human_target,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?","Previous reviewed target (working): Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.",,Edition Statement,,,R0024,Amsterdam_1616,DUTCH,Edition Statement,D_prompt_policy_choice,prompt_choice_policy,"Van nieus oversien, ende verbetert: Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.",working,0,0,working,,,
P1_v6_mismatch_human_target,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): ELEMENTOS GEOMETRICOS DE EVCLIDES,,Elements Designation,,,R0008,Alcala_1637,"DUTCH, LATIN",Elements Designation,C_llm_agreement_overrides_manual,minimal_vs_full_span,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,ELEMENTOS GEOMETRICOS DE EVCLIDES,orig,0,0,orig,llm_overtrimmed,,
P1_v6_mismatch_human_target,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): EUCLIDIS BEGINSELEN der MEETKONST,,Elements Designation,,,R0151,Amsterdam_1695,DUTCH,Elements Designation,C_llm_agreement_overrides_manual,minimal_vs_full_span,EUCLIDIS BEGINSELEN der MEETKONST,EUCLIDIS BEGINSELEN,EUCLIDIS BEGINSELEN,EUCLIDIS BEGINSELEN,"EUCLIDIS BEGINSELEN der MEETKONST, Vervaat in 15 Boeken",EUCLIDIS BEGINSELEN der MEETKONST,orig,0,0,orig,llm_overtrimmed,,
P1_v6_mismatch_human_target,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): xv. Boucken der Elementen Euclidis,,Elements Designation,,,R1068,Leiden_1617,DUTCH,Elements Designation,C_llm_agreement_overrides_manual,minimal_vs_full_span,xv. Boucken der Elementen Euclidis,Elementen Euclidis,Elementen Euclidis,Elementen Euclidis,vande xv. Boucken der Elementen Euclidis,xv. Boucken der Elementen Euclidis,orig,0,0,orig,,,
P1_v6_mismatch_human_target,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,Previous reviewed target (orig): comentado,,Enriched With,,,R0009,Alcala_1637,"DUTCH, LATIN",Enriched With,B_keep_manual_no_llm,span_boundary_definition,comentado,,,comentado,comentado por LVIS CARDVCHI,comentado,orig,0,0,orig,,comentado,
P1_v6_mismatch_human_target,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Previous reviewed target (orig): mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales",,Enriched With,,,R0042,Amsterdam_1618,GERMAN,Enriched With,D_prompt_policy_choice,span_boundary_definition,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales","Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind, Per Demonstra-tiones Lineales","mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales",orig,0,0,orig,,,
P1_v6_mismatch_human_target,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?",Previous reviewed target (working): EV- CLIDIS,,Euclid References,,,R0308,Arnhem_1605a,LATIN,Euclid References,C_llm_agreement_overrides_manual,minimal_vs_full_span,EVCLIDIS,"EV-
CLIDIS","EV-
CLIDIS","EV-
CLIDIS",EV-CLIDIS,EV- CLIDIS,working,0,0,working,,,
P1_v6_mismatch_human_target,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?","Previous reviewed target (working): EVCLIDIS, Euclidis",,Euclid References,,,R0421,Basel_1550,LATIN,Euclid References,C_llm_agreement_overrides_manual,minimal_vs_full_span,EVCLIDIS,"EVCLIDIS, Euclidis","EVCLIDIS, Euclidis","EVCLIDIS, Euclidis",EVCLIDIS,"EVCLIDIS, Euclidis",working,0,0,working,,,
P1_v6_mismatch_human_target,Which source/target language references are actually printed? Separate multiple values with semicolons.,No prior human target; please adjudicate from the candidates.,,Explicit Language References,,,R0098,Amsterdam_1660,DUTCH,Explicit Language References,B_keep_manual_no_llm,recall_missing_value,Neerduyts,,,Neerduyts,Neerduyts,,v5,0,0,v5,"it's a mistake, this string indeed does not appear in the sources",,
P1_v6_mismatch_human_target,Which source/target language references are actually printed? Separate multiple values with semicolons.,"Previous reviewed target (orig): Griechischer, Hohe deutsche",,Explicit Language References,,,R0211,Ansbach_1610,"GERMAN, LATIN",Explicit Language References,C_llm_agreement_overrides_manual,minimal_vs_full_span,"Griechischer, Hohe deutsche",Griechischer,Griechischer,Griechischer,Griechischer,"Griechischer, Hohe deutsche",orig,0,0,orig,,,
P1_v6_mismatch_human_target,"What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?","Previous reviewed target (working): SOC IETATIS JESU, Gymnasio Matheseos",,Institutions,,,R0875,Frankfurt_1674,LATIN,Institutions,C_llm_agreement_overrides_manual,minimal_vs_full_span,"SOCIET. JESU, Panormitano Siciliæ, Herbipolitano Franconiæ, SOCIETATIS JESU Gymnasio","SOC IETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos","SOCIETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos",working,0,0,working,,,
P1_v6_mismatch_human_target,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,"Previous reviewed target (working): van alle leergierighe, lief hebbers der selver vryer Conste",,Intended Audience,,,R0028,Amsterdam_1616,DUTCH,Intended Audience,D_prompt_policy_choice,span_boundary_definition,"tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste.","van alle leergierighe, lief
hebbers der selver vryer Conste","alle leergierighe, liefhebbers der selver vryer Conste","van alle leergierighe, lief
hebbers der selver vryer Conste","alle leergierighe, lief hebbers der selver vryer Conste","van alle leergierighe, lief hebbers der selver vryer Conste",working,0,0,working,,,
P1_v6_mismatch_human_target,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,Previous reviewed target (orig): Aencomelingen,,Intended Audience,,,R0118,Amsterdam_1662,DUTCH,Intended Audience,B_keep_manual_no_llm,span_boundary_definition,Aencomelingen,,,Aencomelingen,,Aencomelingen,orig,0,1,orig,,,
P1_v6_mismatch_human_target,"Enter the exact value V7 should learn for this feature, or leave blank if no value should be returned.",Previous reviewed target (working): Hanss Philip Fuchss von Bimbach,,Patronage Dedication,,,R0214,Ansbach_1610,"GERMAN, LATIN",Patronage Dedication,E_single_llm_over_manual,span_boundary_definition,"Auss Befehl Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen:",Hanss Philip Fuchss von Bimbach,,Hanss Philip Fuchss von Bimbach,"Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach",Hanss Philip Fuchss von Bimbach,working,0,0,working,,,
P1_v6_mismatch_human_target,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.",Previous reviewed target (working): AMSTERDAM,,Place in Imprint,,,R0120,Amsterdam_1662,DUTCH,Place in Imprint,C_llm_agreement_overrides_manual,imprint_scope_or_span,’AMSTERDAM,AMSTERDAM,AMSTERDAM,AMSTERDAM,t’AMSTERDAM,AMSTERDAM,working,0,0,working,The human was mistaken in orig,,
P1_v6_mismatch_human_target,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.","Previous reviewed target (orig): BAMBERGÆ, Franco-furtensis",,Place in Imprint,,,R0346,Bamberg_1677,LATIN,Place in Imprint,C_llm_agreement_overrides_manual,imprint_scope_or_span,"BAMBERGÆ, Franco-furtensis",BAMBERGÆ,BAMBERGÆ,BAMBERGÆ,BAMBERGÆ,"BAMBERGÆ, Franco-furtensis",orig,0,0,orig,,,
P1_v6_mismatch_human_target,"What is the exact publisher/printer phrase, excluding place/date/address/privilege unless part of the name?",Previous reviewed target (orig): Franciscum Succium,,Publisher in Imprint,,,R0811,Ferrara_1628,LATIN,Publisher in Imprint,C_llm_agreement_overrides_manual,imprint_scope_or_span,Franciscum Succium,Franciscum Succium Superiorum,Franciscum Succium Superiorum,Franciscum Succium Superiorum,Franciscum Succium Superiorum,Franciscum Succium,orig,0,0,orig,,,
P1_v6_mismatch_human_target,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (v5): Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",,Verbs,,,R0031,Amsterdam_1616,DUTCH,Verbs,D_prompt_policy_choice,span_boundary_definition,"Overgeset, verclaert, ende uytgeleyt, oversien, verbetert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert","Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert","Overgeset, verclaert, uytgeleyt, oversien, verbetert","Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",v5,0,0,v5,only the verbs should be included,,
P1_v6_mismatch_human_target,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (working): verteutscht, angefüget",,Verbs,,,R0051,Amsterdam_1618,GERMAN,Verbs,C_llm_agreement_overrides_manual,span_boundary_definition,verteutscht,"verteutscht, angefüget","verteutscht, angefüget","verteutscht, angefüget",verteutscht,"verteutscht, angefüget",working,0,0,working,The human was mistaken in orig,,
P1_v6_mismatch_human_target,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): COMPREND, REVUE, CORRIGÉE",,Verbs,,,R0170,Amsterdam_1697,FRENCH,Verbs,C_llm_agreement_overrides_manual,span_boundary_definition,"COMPREND, REVUE, CORRIGÉE","REVUE, CORRIGÉE","REVUE, CORRIGÉE","REVUE, CORRIGÉE","REVUE, CORRIGÉE","COMPREND, REVUE, CORRIGÉE",orig,0,0,orig,missed a verb,,
P1_v6_mismatch_human_target,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): EXPLIQUEZ, Reveuë, corrigée.",,Verbs,,,R0184,Amsterdam_1700,FRENCH,Verbs,C_llm_agreement_overrides_manual,span_boundary_definition,"EXPLIQUEZ, Reveuë, corrigée.","Reveuë, corrigée","Reveuë, corrigée","Reveuë, corrigée","Reveuë, corrigée","EXPLIQUEZ, Reveuë, corrigée.",orig,0,0,orig,missed a verb,,
P1_v6_mismatch_human_target,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): distesa, pubblicata",,Verbs,,,R0831,Florence_1690,ITALIAN,Verbs,C_llm_agreement_overrides_manual,span_boundary_definition,"distesa, pubblicata",pubblicata,pubblicata,pubblicata,"pubblicata, SPIEGATA, distesa","distesa, pubblicata",orig,0,0,orig,,,
P1_new_policy_boundary,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,,Adapter Attribution,,,R0088,Amsterdam_1660,DUTCH,Adapter Attribution,D_prompt_policy_choice,prompt_choice_policy,JACOB WILLEMSZ. VERROOTEN van Haerlem.,JACOB WILLEMSZ,JACOB WILLEMSZ. VERROOTEN,JACOB WILLEMSZ,JACOB WILLEMSZ,,,0,0,,,,
P1_new_policy_boundary,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,,Adapter Description,,,R0034,Amsterdam_1618,GERMAN,Adapter Description,E_single_llm_over_manual,prompt_choice_policy,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teütschen Schuln in Nurnberg.,,Dou,Dou,Dou,,,0,0,,,,
P1_new_policy_boundary,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,,Adapter Description,,,R0070,Amsterdam_1634,"GERMAN, LATIN",Adapter Description,D_prompt_policy_choice,prompt_choice_policy,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg.,Arithmeticum,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,Arithmeticum,,,0,0,,,,
P1_new_policy_boundary,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,,Adapter Description,,,R0124,Amsterdam_1683,LATIN,Adapter Description,D_prompt_policy_choice,prompt_choice_policy,SOC. JESU Sacerdote & Matheseos Professore.,SOC. JESU Sacerdote & Matheseos Professore,"SOC, JESU Sacerdote, Matheseos Professore",SOC. JESU Sacerdote & Matheseos Professore,SOC. JESU Sacerdote & Matheseos Professore,,,0,0,,,,
P1_new_policy_boundary,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,,Adapter Description,,,R0141,Amsterdam_1695,DUTCH,Adapter Description,D_prompt_policy_choice,prompt_choice_policy,"Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz. tot Amsterdam.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz",,,0,0,,,,
P1_new_policy_boundary,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,Base Content Description,,,R0057,Amsterdam_1626,DUTCH,Base Content Description,D_prompt_policy_choice,span_boundary_definition,"Van nieus over-sien, ende verbetert","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen., Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe","eenighe nut-ticheden, byghevoechde nutticheden","eenighe nut-ticheden, byghevoechde nutticheden","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste",,,0,0,,,,
