review_id,Page/Key,language,year,city,Classification,Orig_Value,llm_Value_1,llm_Value_3,llm_Value_4,llm_Value_6,llm_consensus,llm_consensus_count,suggested_final_value,decision_status,decision_reason,review_priority,review_question,your_final_value,your_error_type,your_notes_for_v6
23,JZ3MT9,LATIN,1593,Antwerp,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
24,K7DERJ,GERMAN,1567,Augsburg,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
25,MIZPJ8,GERMAN,1568,Nuremberg,Practical Geometry,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
26,bib-127,LATIN,1598,Nuremberg,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
27,bib-150,ENGLISH,1598,London,Practical Geometry,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
28,bib-4,FRENCH,1564,Paris,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
29,bib-46,FRENCH,1555,Paris,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
30,bib-59,LATIN,1594,Leiden,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
31,bib-64,LATIN,1579,Paris,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
32,bib-67,LATIN,1595,Paris,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
33,5V691B,LATIN,1583,Basel,Theoretical Mathematics,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,"Either secondary or unrelated, it uses Euclid and all, but it is very practice oriented, not aiming to teach theoretical and speculative math concepts"
34,6X6R6Y,GERMAN,1547,Nuremberg,Theoretical Mathematics,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,It's very practice oriented
35,N000JX,LATIN,1516,Alcala,Theoretical Mathematics,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
36,Strasbourg_1529,LATIN,1529,Strasbourg,Theoretical Mathematics,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
37,VWMZ7L,LATIN,1557,Paris,Theoretical Mathematics,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
38,Valencia_1569,LATIN,1569,Valencia,Theoretical Mathematics,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
39,X5YBIB,FRENCH,1586,Paris,Theoretical Mathematics,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
40,ZGOHUR,LATIN,1581,Rome,Theoretical Mathematics,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
41,bib-14,LATIN,1494,Venice,Theoretical Mathematics,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
42,bib-147,ITALIAN,1557,Venice,Theoretical Mathematics,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
43,bib-153,ENGLISH,1579,London,Theoretical Mathematics,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
44,bib-154,ENGLISH,1590,London,Theoretical Mathematics,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
45,L3XLGB,FRENCH,1564,Poitiers,Trigonometry,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,Don't overassume. Teaching about sundais doesn't mean it explores & teaches trigo
46,B9OW5O,GERMAN,1583,Vienna,Construction,unrelated,primary,secondary,secondary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
47,C8SLYQ,GERMAN,1531,Simmern,Construction,unrelated,primary,secondary,secondary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
48,S105XB,GERMAN,1564,Frankfurt,Construction,unrelated,unrelated,secondary,secondary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
49,bib-148,FRENCH,1598,Paris,Construction,unrelated,secondary,secondary,primary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
50,bib-152,ITALIAN,1583,Venice,Construction,unrelated,primary,primary,secondary,secondary,primary,1,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
51,bib-280,FRENCH,1600,Paris,Construction,unrelated,secondary,secondary,primary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
52,bib-29,FRENCH,1582,Paris,Construction,unrelated,primary,secondary,primary,primary,primary,3,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
53,bib-39,ITALIAN,1564,Venice,Construction,unrelated,primary,primary,primary,secondary,primary,3,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
54,bib-71,LATIN,1567,Venice,Construction,unrelated,primary,primary,primary,secondary,primary,3,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
55,0NKS71,FRENCH,1568,Paris,Instrument Construction,unrelated,primary,secondary,primary,secondary,primary,1,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
56,ZGOHUR,LATIN,1581,Rome,Instrument Construction,unrelated,primary,secondary,secondary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
57,bib-10,FRENCH,1570,Paris,Instrument Construction,unrelated,secondary,secondary,unknown,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
58,bib-45,ITALIAN,1587,Venice,Instrument Construction,unrelated,unrelated,secondary,secondary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
59,bib-5,FRENCH,1585,Paris,Instrument Construction,unrelated,primary,primary,secondary,primary,primary,3,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
60,bib-9,LATIN,1544,Strasbourg,Instrument Construction,unrelated,unrelated,secondary,secondary,secondary,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
61,bib-264,FRENCH,1573,Antwerp,Trigonometry,unrelated,secondary,secondary,primary,primary,primary,1,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
62,bib-52,LATIN,1592,Venice,Trigonometry,unrelated,secondary,secondary,primary,primary,primary,1,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,113,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,"It's borderline, it doesn't teach trigo."
63,Z0K13S,LATIN,1543,Nuremberg,Trigonometry,unrelated,primary,secondary,secondary,unknown,primary,1,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,110,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,"It's borderline - is it overestimation to believe it includes trigo? We can be conservative with this category, though, to not be anachronistic"
64,bib-152,ITALIAN,1583,Venice,Trigonometry,unrelated,secondary,secondary,secondary,unrelated,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,110,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,
65,bib-28,FRENCH,1576,Paris,Trigonometry,unrelated,secondary,secondary,secondary,unknown,secondary,3,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,110,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
66,C8SLYQ,GERMAN,1531,Simmern,Architecture,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
67,JTRIRS,ITALIAN,1569,Venice,Architecture,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
68,JXC181,ITALIAN,1569,Venice,Architecture,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
69,Q4F538,GERMAN,1571,Nuremberg,Architecture,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
70,bib-156,ITALIAN,1581,Venice,Architecture,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
71,bib-280,FRENCH,1600,Paris,Architecture,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
72,JZ3MT9,LATIN,1593,Antwerp,Arithmetic,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
73,N000JX,LATIN,1516,Alcala,Arithmetic,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
74,bib-167,LATIN,1511,Paris,Arithmetic,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
75,bib-181,LATIN,1584,Paris,Arithmetic,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,105,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
76,bib-7,ENGLISH,1571,London,Instrument Construction,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,4,secondary,review_manual_positive,manual positive but no LLM confirms,97,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",unrelated,,
77,bib-148,FRENCH,1598,Paris,Instrument Use,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,4,secondary,review_manual_positive,manual positive but no LLM confirms,97,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",unrelated,,
78,Paris_1532,LATIN,1532,Paris,Practical Geometry,primary,unknown,unknown,unknown,unknown,unknown,4,primary,review_manual_positive,manual positive but no LLM confirms,97,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
79,bib-21,LATIN,1569,Basel,Practical Geometry,primary,unknown,unknown,unknown,unknown,unknown,4,primary,review_manual_positive,manual positive but no LLM confirms,97,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
80,bib-176,LATIN,1514,Paris,Theoretical Mathematics,primary,unknown,unknown,unknown,unknown,unknown,4,primary,review_manual_positive,manual positive but no LLM confirms,97,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
81,5KCP5R,DUTCH,1553,Antwerp,Architecture,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
82,QWCWLH,"FRENCH, ITALIAN",1545,Paris,Architecture,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
83,ZN24V0,GERMAN,1543,Nuremberg,Architecture,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
84,XHZ2XV,LATIN,1592,Tournon,Arithmetic,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
85,bib-225,GERMAN,1518,Augsburg,Arithmetic,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
86,bib-23,ITALIAN,1556,Venice,Arithmetic,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
87,bib-239,GERMAN,1521,Nuremberg,Arithmetic,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
88,bib-47,FRENCH,1561,Paris,Cartography,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
89,bib-239,GERMAN,1521,Nuremberg,Commercial Mathematics,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
90,bib-255,LATIN,1574,Cologne,Instrument Use,primary,unrelated,unknown,unknown,unrelated,unrelated,1,primary,review_manual_positive,manual positive but no LLM confirms,95,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
91,XHZ2XV,LATIN,1592,Tournon,Music Theory,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
92,5KCP5R,DUTCH,1553,Antwerp,Perspective,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
93,ZN24V0,GERMAN,1543,Nuremberg,Perspective,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
94,bib-212,DUTCH,1603,Amsterdam,Practical Geometry,primary,unrelated,unknown,unrelated,unrelated,unrelated,3,primary,review_manual_positive,manual positive but no LLM confirms,95,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
95,bib-47,FRENCH,1561,Paris,Surveying,,primary,primary,primary,primary,primary,4,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,95,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
96,XHZ2XV,LATIN,1592,Tournon,Astronomy,,primary,primary,unknown,primary,primary,3,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,93,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
97,bib-239,GERMAN,1521,Nuremberg,Music Theory,,primary,primary,primary,secondary,primary,3,primary,blank_with_llm_related_consensus,blank manual value; 2-3 LLMs say related,93,"Can we fill this blank as related? If yes, is the value primary or secondary?",,,
98,6PMNRZ,LATIN,1526,Paris,Commercial Mathematics,primary,unrelated,unrelated,unrelated,unrelated,unrelated,4,primary,review_manual_positive,manual positive but no LLM confirms,87,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
99,bib-93,ITALIAN,1603,Venice,Commercial Mathematics,primary,unrelated,unrelated,unrelated,unrelated,unrelated,4,primary,review_manual_positive,manual positive but no LLM confirms,87,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
100,VWMZ7L,LATIN,1557,Paris,Geography,primary,unrelated,unrelated,unrelated,unrelated,unrelated,4,primary,review_manual_positive,manual positive but no LLM confirms,87,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
101,bib-82,LATIN,1554,Lyon,Military Engineering,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,4,secondary,review_manual_positive,manual positive but no LLM confirms,87,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
102,bib-20,ITALIAN,1599,Rome,Perspective,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,4,secondary,review_manual_positive,manual positive but no LLM confirms,87,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
103,bib-222,ENGLISH,1546,London,Commercial Mathematics,primary,unrelated,unrelated,unrelated,unknown,unrelated,3,primary,review_manual_positive,manual positive but no LLM confirms,85,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
