review_priority,review_id,Page/Key,Feature Name,comparison_score,comparison_target_source,comparison_target,v7_value,Value_llm6,working_final_value,human_final_value,v6_target,review_question_now,codex_recommendation,error_type,v6_focus_area
P1_v6_mismatch_human_target,R0868,Frankfurt_1674,Adapter Description,different,human_final_value,"REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU
Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris","REGISCURIANI E SOCIET. JESU, Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",Should role/location/affiliation qualifiers be included in the adapter description?,"Previous reviewed target (working): REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",,minimal_vs_full_span
P1_v6_mismatch_human_target,R0224,Antwerp_1645,Bound With,different,v6_target,"ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",ISIDORVM ET HYPSICLEM & Recentiores de Corporibus Regularibus | PROCLI PROPOSITIONES GEO-METRICAS,"HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS","HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",,"ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",Should this be full descriptive span or minimal titles only?,"Previous reviewed target (custom_preferred_source): ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",other value,prompt_choice_policy
P1_v6_mismatch_human_target,R0098,Amsterdam_1660,Explicit Language References,missing_v7,working_final_value,Neerduyts,,Neerduyts,Neerduyts,,,Which source/target language references are actually printed? Separate multiple values with semicolons.,No prior human target; please adjudicate from the candidates.,"it's a mistake, this string indeed does not appear in the sources",recall_missing_value
P1_v6_mismatch_human_target,R0421,Basel_1550,Euclid References,different,v6_target,"EVCLIDIS, Euclidis",EVCLIDIS | Euclidis,EVCLIDIS,"EVCLIDIS, Euclidis",,"EVCLIDIS, Euclidis","What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?","Previous reviewed target (working): EVCLIDIS, Euclidis",,minimal_vs_full_span
P1_v6_mismatch_human_target,R0875,Frankfurt_1674,Institutions,different,v6_target,"SOC IETATIS JESU, Gymnasio Matheseos",SOCIETATIS JESU | Gymnasio Matheseos,"SOCIETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos",,"SOC IETATIS JESU, Gymnasio Matheseos","What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?","Previous reviewed target (working): SOC IETATIS JESU, Gymnasio Matheseos",,minimal_vs_full_span
P1_new_policy_boundary,R0067,Amsterdam_1626,Verbs,different,working_final_value,"Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert",ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert,"over-sien, verbetert","Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert",,,Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,No prior human target; please adjudicate from the candidates.,,span_boundary_definition
P1_new_policy_boundary,R0122,Amsterdam_1662,Verbs,different,working_final_value,"Overgeset, vergroot, verrijckt",Overgeset | vergroot | Vertaelt | verrijckt,"Overgeset, vergroot, verrijckt, Vertaelt","Overgeset, vergroot, verrijckt",,,Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,No prior human target; please adjudicate from the candidates.,,span_boundary_definition
P1_new_policy_boundary,R0201,Amsterdam_1700b,Verbs,different,working_final_value,"Over-geset, verklaart, uyt-geleyt, verbeteret",by-gevoeght | Over-geset | uyt-geleyt | oversien | verbetert | vermeerdert,"oversien, verbetert","Over-geset, verklaart, uyt-geleyt, verbeteret",,,Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,No prior human target; please adjudicate from the candidates.,,span_boundary_definition
P1_new_policy_boundary,R0026,Amsterdam_1616,Enriched With,different,working_final_value,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",,,"Should this be a full phrase span, or only minimal enrichment nouns/objects?","Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,span_boundary_definition
P1_new_policy_boundary,R0062,Amsterdam_1626,Enriched With,different,working_final_value,"Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt",,,"Should this be a full phrase span, or only minimal enrichment nouns/objects?","Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,span_boundary_definition
P1_new_policy_boundary,R0078,Amsterdam_1634,Enriched With,different,working_final_value,"Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten","Dabey dann mancherley auss diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Speciebus in Geometrischen Figuren, alss machen, verändern,
zusammenfügen, abziehen, vielfältigen vnd theilen: Per Demonstra-tiones Lineales","Dabey dann mancherley auss diesen Büchern gezogene Nutzbarkeiten angefüget seind, Per Demonstra-tiones Lineales","Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten",,,"Should this be a full phrase span, or only minimal enrichment nouns/objects?","Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,span_boundary_definition
P1_new_policy_boundary,R0114,Amsterdam_1662,Enriched With,different,working_final_value,"een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien",Met korte verk-laringen eeniger Propositien | een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren,"Met korte verk-laringen eeniger Propositien, een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren","een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien",,,"Should this be a full phrase span, or only minimal enrichment nouns/objects?","Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,span_boundary_definition
P1_new_policy_boundary,R0195,Amsterdam_1700b,Enriched With,different,working_final_value,"Specien in Geometrische figuren, nuttigheden","Waer by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert, door den selven Autheur","by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken, de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert","Specien in Geometrische figuren, nuttigheden",,,"Should this be a full phrase span, or only minimal enrichment nouns/objects?","Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,span_boundary_definition
P1_new_policy_boundary,R0057,Amsterdam_1626,Base Content Description,different,working_final_value,"eenighe nut-ticheden, byghevoechde nutticheden","De ses eerste Boecken EVCLIDIS, Van de beginselen ende fondamenten der Geometrie","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste","eenighe nut-ticheden, byghevoechde nutticheden",,,"Where should Base Content stop, and should descriptive/addition material be split out?","Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,span_boundary_definition
P1_new_policy_boundary,R0072,Amsterdam_1634,Base Content Description,different,working_final_value,"Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg","Die sechs ersten Bücher EVCLIDIS, Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici: Von den Anfängen vnd fundamenten der Geometriæ","Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici: Von den Anfängen vnd fundamenten der Geometriæ","Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg",,,"Where should Base Content stop, and should descriptive/addition material be split out?","Use your new framing rule: core if inherent, Enriched With if added/supplementary.",,span_boundary_definition
P1_new_policy_boundary,R0034,Amsterdam_1618,Adapter Description,missing_v7,working_final_value,Dou,,Dou,Dou,,,Should role/location/affiliation qualifiers be included in the adapter description?,Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,,prompt_choice_policy
P2_unreviewed_focus_case,R0167,Amsterdam_1697,Intended Audience,different,working_final_value,"à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.",un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science,"un homme de Guerre, tous ceux qui se veulent perfectionner dans cette Science","à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.",,,"Should the full audience phrase be kept, or only the noun group?",No prior human target; please adjudicate from the candidates.,,span_boundary_definition
P2_unreviewed_focus_case,R0112,Amsterdam_1662,Edition Statement,different,working_final_value,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt","En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaelt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt","En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaelt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt","En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",,,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?",No prior human target; please adjudicate from the candidates.,,prompt_choice_policy
