review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,working_final_value,decision_tier,diagnostic_question,v6_focus_area,preferred_source,error_type,span_policy,human_final_value,human_status,v6_instruction_note,human_notes
R0877,Frankfurt_1674,LATIN,Place in Imprint,FRANCOFURTI AD MOENUM,FRANCOFURTI,FRANCOFURTI,FRANCOFURTI,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,orig,,,,,,
R0988,Kiel_Hamburg_and_Leipzig_1697,GERMAN,Date in Imprint,Jm Jahr 1697,1697,1697,1697,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,working,,,,,,
R1041,Leiden_1606,DUTCH,Place in Imprint,LEYDEN,Hooghelantsche Kerckgracht,Hooghelantsche Kerckgracht,Hooghelantsche Kerckgracht,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,working,,,,,,
R1046,Leiden_1607,DUTCH,Adapter Description,der stadt Leyden Lantmeter ende Wijnroeyer.,der stadt Leyden Lantmeter ende Wijnroeyer,der stadt Leyden Lantmeter ende Wijnroeyer,der stadt Leyden Lantmeter ende Wijnroeyer,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R1068,Leiden_1617,DUTCH,Elements Designation,xv. Boucken der Elementen Euclidis,Elementen Euclidis,Elementen Euclidis,Elementen Euclidis,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,
R1179,London_1651,ENGLISH,Other Educational Authorities,JOHN DEE,MR. JOHN DEE,MR. JOHN DEE,MR. JOHN DEE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0004,Alcala_1637,"DUTCH, LATIN",Base Content,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS DE EVCLIDES,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,orig,"it can also be the working version, its a borderline case",,,,,
R0019,Amsterdam_1616,DUTCH,Adapter Description,der stadt Leyden Landtmeter ende Wijnroeyer.,der stadt Leyden Landtmeter ende Wijnroeyer,"der stadt Leyden Landtmeter, Wijnroeyer",der stadt Leyden Landtmeter ende Wijnroeyer,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,v5,"there should be a full string match with the text, so punctuations inside the string should be included (suffix/prefix punctoations should be removed)",,,,,
R0021,Amsterdam_1616,DUTCH,Base Content Description,"Van nieus oversien, ende verbetert","Van de beginselen ende fondamenten der Geometrie. Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen. Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, lief
hebbers der selver vryer Conste.","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,orig,"the second part is presented as an ""addition"" to the elements",,,,,
R0024,Amsterdam_1616,DUTCH,Edition Statement,"Van nieus oversien, ende verbetert: Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,working,,,,,,
R0028,Amsterdam_1616,DUTCH,Intended Audience,"tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste.","van alle leergierighe, lief
hebbers der selver vryer Conste","alle leergierighe, liefhebbers der selver vryer Conste","van alle leergierighe, lief
hebbers der selver vryer Conste",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,working,,,,,,
R0031,Amsterdam_1616,DUTCH,Verbs,"Overgeset, verclaert, ende uytgeleyt, oversien, verbetert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert","Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,v5,only the verbs should be included,,,,,
R0035,Amsterdam_1618,GERMAN,Base Content,Die sechs ersten Bücher EVCLIDIS,"Die sechs ersten Bücher EVCLIDIS,",sechs ersten Bücher EVCLIDIS,"Die sechs ersten Bücher EVCLIDIS,",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,orig,don't include commas/dots at the end,,,,,
R0036,Amsterdam_1618,GERMAN,Base Content Description,Niderlandischen andern Edition,"Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici, Von den anfängen vnd fundamenten der Geometriæ","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,Von den anfängen vnd fundamenten der Geometriæ,"Use another value (as specified) - do not include descriptions of Euclid as a person, only of the Elements.",,,,,
R0042,Amsterdam_1618,GERMAN,Enriched With,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,orig,,,,,,
R0046,Amsterdam_1618,GERMAN,Institutions,Verordneten Inspectorn vnd Visitatorn der Teütschen Schuln in Nurnberg,Teütschen Schuln in Nurnberg,Teütschen Schuln,Teütschen Schuln,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,v1,,,,,,
R0057,Amsterdam_1626,DUTCH,Base Content Description,"Van nieus over-sien, ende verbetert","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen., Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe","eenighe nut-ticheden, byghevoechde nutticheden","eenighe nut-ticheden, byghevoechde nutticheden",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0060,Amsterdam_1626,DUTCH,Edition Statement,"Van nieus over-sien, ende verbetert: Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus over-sien, ende verbetert, breeder verclaert","Van nieus over-sien, ende verbetert","Van nieus over-sien, ende verbetert, breeder verclaert",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0062,Amsterdam_1626,DUTCH,Enriched With,"eenighe nut-ticheden, de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste, de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert","Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, breeder verclaert ende vermeerdert","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0064,Amsterdam_1626,DUTCH,Intended Audience,"tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste.",van alle leergierighe liefhebbers der selver vryer Conste.,alle leergierighe liefhebbers der selver vryer Conste,van alle leergierighe liefhebbers der selver vryer Conste.,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0067,Amsterdam_1626,DUTCH,Verbs,"Overgheset, verclaert, ende uytgheleyt,","Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert","over-sien, verbetert","Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0070,Amsterdam_1634,"GERMAN, LATIN",Adapter Description,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg.,Arithmeticum,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0072,Amsterdam_1634,"GERMAN, LATIN",Base Content Description,Von den Anfängen vnd fundamenten der Geometriæ,"Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici: Von den Anfängen vnd fundamenten der Geometriæ. Dabey dann mancherley auss diesen Büchern gezogene Nutzbarkeiten angefüget seind: sammt den Speciebus in Geometrischen Figuren, alss machen, verändern,
zusammenfügen, abziehen, vielfältigen vnd theilen: Per Demonstra-tiones Lineales.","Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg","Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0078,Amsterdam_1634,"GERMAN, LATIN",Enriched With,"mancherley auss diesen Büchern gezogene Nutzbarkeiten, Speciebus in Geometrischen Figuren, alss machen, verändern, zusammenfügen, abziehen, vielfältigen vnd theilen, Per Demonstra-tiones Lineales","Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten","Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales","Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0081,Amsterdam_1634,"GERMAN, LATIN",Explicit Language References,"Niderländischen, verteutscht",Niderländischen,"Griechischen, Niderländischen","Griechischen, Niderländischen",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0088,Amsterdam_1660,DUTCH,Adapter Attribution,JACOB WILLEMSZ. VERROOTEN van Haerlem.,JACOB WILLEMSZ,JACOB WILLEMSZ. VERROOTEN,JACOB WILLEMSZ,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0092,Amsterdam_1660,DUTCH,Base Content,EUKLIDES SES EERSTE BOEKKEN,"EUKLIDES
SES EERSTE
BOEKKEN,",SES EERSTE BOEKKEN,SES EERSTE BOEKKEN,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0099,Amsterdam_1660,DUTCH,Place in Imprint,AMSTELDAM,"t’AMSTELDAM,",t’AMSTELDAM,t’AMSTELDAM,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,
R0105,Amsterdam_1662,DUTCH,Base Content,De 15 Boecken der ELEMENTEN Van Euclidis.,De 15 Boecken der ELEMENTEN Van Euclidis,ELEMENTEN Van Euclidis,ELEMENTEN Van Euclidis,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0112,Amsterdam_1662,DUTCH,Edition Statement,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaelt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt, in dese Const gebruykelijck tot gerief der Aencomelingen.","En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",vergroot deor J. V. L,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
