review_priority,review_id,Page/Key,Feature Name,v7_feature_name,comparison_target_source,comparison_target,v7_value,comparison_score,error_type,v6_focus_area,v7_policy_question,codex_recommendation
P1_v6_mismatch_human_target,R0024,Amsterdam_1616,Edition Statement,Edition Statement,v6_target,"Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert",span_contains,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?","Previous reviewed target (working): Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur."
P1_v6_mismatch_human_target,R0008,Alcala_1637,Elements Designation,Base Content,v6_target,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,span_contains,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): ELEMENTOS GEOMETRICOS DE EVCLIDES
P1_v6_mismatch_human_target,R0151,Amsterdam_1695,Elements Designation,Base Content,v6_target,EUCLIDIS BEGINSELEN der MEETKONST,"EUCLIDIS BEGINSELEN der MEETKONST, Vervaat in 15 Boeken",span_contains,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): EUCLIDIS BEGINSELEN der MEETKONST
P1_v6_mismatch_human_target,R1068,Leiden_1617,Elements Designation,Base Content,v6_target,xv. Boucken der Elementen Euclidis,DE PROPOSITIEN vande xv. Boucken der Elementen Euclidis,span_contains,,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): xv. Boucken der Elementen Euclidis
P1_v6_mismatch_human_target,R0009,Alcala_1637,Enriched With,Enriched With,human_final_value,comentado,,missing_v7,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,Previous reviewed target (orig): comentado
P1_v6_mismatch_human_target,R0042,Amsterdam_1618,Enriched With,Enriched With,v6_target,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind: sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen: Per Demonstra-tiones Lineales",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Previous reviewed target (orig): mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales"
P1_v6_mismatch_human_target,R0308,Arnhem_1605a,Euclid References,Euclid References,v6_target,EV- CLIDIS,"EV-
CLIDIS",exact_set,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?",Previous reviewed target (working): EV- CLIDIS
P1_v6_mismatch_human_target,R0421,Basel_1550,Euclid References,Euclid References,v6_target,"EVCLIDIS, Euclidis",EVCLIDIS | Euclidis,different,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?","Previous reviewed target (working): EVCLIDIS, Euclidis"
P1_v6_mismatch_human_target,R0098,Amsterdam_1660,Explicit Language References,Explicit Language References,working_final_value,Neerduyts,,missing_v7,"it's a mistake, this string indeed does not appear in the sources",recall_missing_value,Which source/target language references are actually printed? Separate multiple values with semicolons.,No prior human target; please adjudicate from the candidates.
P1_v6_mismatch_human_target,R0211,Ansbach_1610,Explicit Language References,Explicit Language References,v6_target,"Griechischer, Hohe deutsche",Griechischer,span_contains,,minimal_vs_full_span,Which source/target language references are actually printed? Separate multiple values with semicolons.,"Previous reviewed target (orig): Griechischer, Hohe deutsche"
P1_v6_mismatch_human_target,R0875,Frankfurt_1674,Institutions,Institutions,v6_target,"SOC IETATIS JESU, Gymnasio Matheseos",SOCIETATIS JESU | Gymnasio Matheseos,different,,minimal_vs_full_span,"What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?","Previous reviewed target (working): SOC IETATIS JESU, Gymnasio Matheseos"
P1_v6_mismatch_human_target,R0028,Amsterdam_1616,Intended Audience,Intended Audience,v6_target,"van alle leergierighe, lief hebbers der selver vryer Conste","van alle leergierighe, liefhebbers der selver vryer Conste",different,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,"Previous reviewed target (working): van alle leergierighe, lief hebbers der selver vryer Conste"
P1_v6_mismatch_human_target,R0118,Amsterdam_1662,Intended Audience,Intended Audience,v6_target,Aencomelingen,,missing_v7,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,Previous reviewed target (orig): Aencomelingen
P1_v6_mismatch_human_target,R0214,Ansbach_1610,Patronage Dedication,Dedication,v6_target,Hanss Philip Fuchss von Bimbach,"Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",span_contains,,span_boundary_definition,"Enter the exact value V7 should learn for this feature, or leave blank if no value should be returned.",Previous reviewed target (working): Hanss Philip Fuchss von Bimbach
P1_v6_mismatch_human_target,R0120,Amsterdam_1662,Place in Imprint,,v6_target,AMSTERDAM,,out_of_scope_no_v7_feature,The human was mistaken in orig,imprint_scope_or_span,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.",Previous reviewed target (working): AMSTERDAM
P1_v6_mismatch_human_target,R0346,Bamberg_1677,Place in Imprint,,v6_target,"BAMBERGÆ, Franco-furtensis",,out_of_scope_no_v7_feature,,imprint_scope_or_span,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.","Previous reviewed target (orig): BAMBERGÆ, Franco-furtensis"
P1_v6_mismatch_human_target,R0811,Ferrara_1628,Publisher in Imprint,,v6_target,Franciscum Succium,,out_of_scope_no_v7_feature,,imprint_scope_or_span,"What is the exact publisher/printer phrase, excluding place/date/address/privilege unless part of the name?",Previous reviewed target (orig): Franciscum Succium
P1_v6_mismatch_human_target,R0031,Amsterdam_1616,Verbs,Verbs,v6_target,"Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert,different,only the verbs should be included,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (v5): Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert"
P1_v6_mismatch_human_target,R0051,Amsterdam_1618,Verbs,Verbs,v6_target,"verteutscht, angefüget",verteutscht | angefüget,different,The human was mistaken in orig,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (working): verteutscht, angefüget"
P1_v6_mismatch_human_target,R0170,Amsterdam_1697,Verbs,Verbs,v6_target,"COMPREND, REVUE, CORRIGÉE",REVUE | CORRIGÉE,different,missed a verb,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): COMPREND, REVUE, CORRIGÉE"
P1_v6_mismatch_human_target,R0184,Amsterdam_1700,Verbs,Verbs,v6_target,"EXPLIQUEZ, Reveuë, corrigée.",Reveuë | corrigée,different,missed a verb,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): EXPLIQUEZ, Reveuë, corrigée."
P1_v6_mismatch_human_target,R0831,Florence_1690,Verbs,Verbs,v6_target,"distesa, pubblicata",distesa | pubblicata,different,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): distesa, pubblicata"
P1_new_policy_boundary,R0088,Amsterdam_1660,Adapter Attribution,Adapter Attribution,working_final_value,JACOB WILLEMSZ,JACOB WILLEMSZ,exact_set,,prompt_choice_policy,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.
P1_new_policy_boundary,R0034,Amsterdam_1618,Adapter Description,Adapter Description,working_final_value,Dou,,missing_v7,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.
P1_new_policy_boundary,R0070,Amsterdam_1634,Adapter Description,Adapter Description,working_final_value,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg,span_contains,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.
P1_new_policy_boundary,R0124,Amsterdam_1683,Adapter Description,Adapter Description,working_final_value,SOC. JESU Sacerdote & Matheseos Professore,SOC. JESU Sacerdote & Matheseos Professore,exact_set,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.
P1_new_policy_boundary,R0141,Amsterdam_1695,Adapter Description,Adapter Description,working_final_value,"VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz. tot Amsterdam",span_contains,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.
P1_new_policy_boundary,R0057,Amsterdam_1626,Base Content Description,Base Content,working_final_value,"eenighe nut-ticheden, byghevoechde nutticheden","De ses eerste Boecken EVCLIDIS, Van de beginselen ende fondamenten der Geometrie",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary."
P1_new_policy_boundary,R0072,Amsterdam_1634,Base Content Description,Base Content,working_final_value,"Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg","Die sechs ersten Bücher EVCLIDIS, Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici: Von den Anfängen vnd fundamenten der Geometriæ",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary."
P1_new_policy_boundary,R0026,Amsterdam_1616,Enriched With,Enriched With,working_final_value,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary."
P1_new_policy_boundary,R0062,Amsterdam_1626,Enriched With,Enriched With,working_final_value,"Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary."
P1_new_policy_boundary,R0078,Amsterdam_1634,Enriched With,Enriched With,working_final_value,"Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten","Dabey dann mancherley auss diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Speciebus in Geometrischen Figuren, alss machen, verändern,
zusammenfügen, abziehen, vielfältigen vnd theilen: Per Demonstra-tiones Lineales",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary."
P1_new_policy_boundary,R0114,Amsterdam_1662,Enriched With,Enriched With,working_final_value,"een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien",Met korte verk-laringen eeniger Propositien | een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren,different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary."
P1_new_policy_boundary,R0195,Amsterdam_1700b,Enriched With,Enriched With,working_final_value,"Specien in Geometrische figuren, nuttigheden","Waer by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert, door den selven Autheur",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary."
P1_new_policy_boundary,R0099,Amsterdam_1660,Place in Imprint,,working_final_value,t’AMSTELDAM,,out_of_scope_no_v7_feature,,imprint_scope_or_span,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.",Prefer full address/place phrase under the new V7 rule; split multiple values with semicolons.
P1_new_policy_boundary,R0067,Amsterdam_1626,Verbs,Verbs,working_final_value,"Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert",ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert,different,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,No prior human target; please adjudicate from the candidates.
P1_new_policy_boundary,R0122,Amsterdam_1662,Verbs,Verbs,working_final_value,"Overgeset, vergroot, verrijckt",Overgeset | vergroot | Vertaelt | verrijckt,different,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,No prior human target; please adjudicate from the candidates.
P1_new_policy_boundary,R0201,Amsterdam_1700b,Verbs,Verbs,working_final_value,"Over-geset, verklaart, uyt-geleyt, verbeteret",by-gevoeght | Over-geset | uyt-geleyt | oversien | verbetert | vermeerdert,different,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0092,Amsterdam_1660,Base Content,Base Content,working_final_value,SES EERSTE BOEKKEN,"EUKLIDES
SES EERSTE
BOEKKEN,
Van de Beginselen der
WISKONSTEN",span_contains,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0105,Amsterdam_1662,Base Content,Base Content,working_final_value,ELEMENTEN Van Euclidis,De 15 Boecken der ELEMENTEN Van Euclidis,span_contains,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0127,Amsterdam_1683,Bound With,Bound With - Description,working_final_value,EX ARCHIMEDE THEOREMATA,selecta EX ARCHIMEDE THEOREMATA,span_contains,,prompt_choice_policy,"Which additional bound works should be captured, excluding the core Euclid title? Separate distinct works with semicolons.",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0145,Amsterdam_1695,Bound With,Bound With - Description,working_final_value,"15
Boeken, 16 Boek Fr. Flussatis Candallæ",16 Boek Fr. Flussatis Candallæ,span_contains,,prompt_choice_policy,"Which additional bound works should be captured, excluding the core Euclid title? Separate distinct works with semicolons.",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0060,Amsterdam_1626,Edition Statement,Edition Statement,working_final_value,"Van nieus over-sien, ende verbetert, breeder verclaert","Van nieus over-sien, ende verbetert",span_contains,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0112,Amsterdam_1662,Edition Statement,Edition Statement,working_final_value,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt","En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaelt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",different,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0176,Amsterdam_1700,Edition Statement,Edition Statement,working_final_value,"NOUVELLE EDITION, Reveuë & corrigée","NOUVELLE EDITION, Reveuë & corrigée",exact_set,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0250,Antwerp_1654,Elements Designation,Base Content,working_final_value,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,exact_set,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0281,Arnhem_1603,Elements Designation,Base Content,working_final_value,Elementorum libris,"GEOMETRIAM EVCLIDIS prioribus sex
Elementorum libris comprehensam",span_contains,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0293,Arnhem_1605,Elements Designation,Base Content,working_final_value,Elementorum libris,"ARITHMETICAM RATIO-
NALIVM
EVCLIDIS

Septimo, Octavo & Nono Elementorum libris
comprehenſam",span_contains,,prompt_choice_policy,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0064,Amsterdam_1626,Intended Audience,Intended Audience,working_final_value,van alle leergierighe liefhebbers der selver vryer Conste.,alle leergierighe liefhebbers der selver vryer Conste,span_contains,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0167,Amsterdam_1697,Intended Audience,Intended Audience,working_final_value,"à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.",un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science,different,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0198,Amsterdam_1700b,Intended Audience,Intended Audience,working_final_value,van alle leer-gierige Liefhebbers der selver vrye Konste,alle leer-gierige Liefhebbers der selver vrye Konste,span_contains,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,No prior human target; please adjudicate from the candidates.
P2_unreviewed_focus_case,R0297,Arnhem_1605,Publisher in Imprint,,working_final_value,IOHANNEM IANSONIVM,,out_of_scope_no_v7_feature,,imprint_scope_or_span,"What is the exact publisher/printer phrase, excluding place/date/address/privilege unless part of the name?",No prior human target; please adjudicate from the candidates.
P3_spot_check_v6_win,R0316,Augsburg_1555,Base Content,Base Content,v6_target,"Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis",des hochberümbten Mathematici Euclidis Megarensis,span_contains,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.","Previous reviewed target (orig): Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis"
P3_spot_check_v6_win,R0483,Bologna_1651,Base Content,Base Content,v6_target,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,exact_set,,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri
P3_spot_check_v6_win,R0179,Amsterdam_1700,Euclid References,Euclid References,v6_target,EUCLIDE,EUCLIDE,exact_set,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?",Previous reviewed target (working): EUCLIDE
P3_spot_check_v6_win,R0294,Arnhem_1605,Euclid References,Euclid References,v6_target,EVCLIDIS,EVCLIDIS,exact_set,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?",Previous reviewed target (working): EVCLIDIS
P3_spot_check_v6_win,R0180,Amsterdam_1700,Institutions,Institutions,v6_target,Compagnie de JESUS,Compagnie de JESUS,exact_set,,minimal_vs_full_span,"What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?",Previous reviewed target (working): Compagnie de JESUS
P3_spot_check_v6_win,R0327,Augsburg_1555,Institutions,Institutions,v6_target,vniuersitet zü Tübingen,vniuersitet zü Tübingen,exact_set,,minimal_vs_full_span,"What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?",Previous reviewed target (working): vniuersitet zü Tübingen
