review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,working_final_value,decision_tier,diagnostic_question,v6_focus_area,preferred_source,error_type,span_policy,human_final_value,human_status,v6_instruction_note,human_notes,Value_llm6,v6_target,v6_target_source,v6_exact_match,v6_missing,v6_source_revision,v6_revision_name
R0531,Bologna_1686,ITALIAN,Base Content,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,orig,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
R0811,Ferrara_1628,LATIN,Publisher in Imprint,Franciscum Succium,Franciscum Succium Superiorum,Franciscum Succium Superiorum,Franciscum Succium Superiorum,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,orig,,,,,,,Franciscum Succium Superiorum,Franciscum Succium,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a12,v6
R0831,Florence_1690,ITALIAN,Verbs,"distesa, pubblicata",pubblicata,pubblicata,pubblicata,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,orig,,,,,,,"pubblicata, SPIEGATA, distesa","distesa, pubblicata",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0868,Frankfurt_1674,LATIN,Adapter Description,"P., REGISCURIANI E SOCIET. JESU
Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,"REGISCURIANI E SOCIET. JESU, Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0875,Frankfurt_1674,LATIN,Institutions,"SOCIET. JESU, Panormitano Siciliæ, Herbipolitano Franconiæ, SOCIETATIS JESU Gymnasio","SOC IETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,"SOCIETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos",working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a14,v6
R0877,Frankfurt_1674,LATIN,Place in Imprint,FRANCOFURTI AD MOENUM,FRANCOFURTI,FRANCOFURTI,FRANCOFURTI,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,orig,,,,,,,FRANCOFURTI AD MOENUM,FRANCOFURTI AD MOENUM,orig,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6
R0988,Kiel_Hamburg_and_Leipzig_1697,GERMAN,Date in Imprint,Jm Jahr 1697,1697,1697,1697,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,working,,,,,,,1697,1697,working,1,0,71d1be08-4bb6-47d0-b31b-0c599353e775,v2
R1041,Leiden_1606,DUTCH,Place in Imprint,LEYDEN,Hooghelantsche Kerckgracht,Hooghelantsche Kerckgracht,Hooghelantsche Kerckgracht,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,working,,,,,,,Hooghelantsche Kerckgracht,Hooghelantsche Kerckgracht,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6
R1046,Leiden_1607,DUTCH,Adapter Description,der stadt Leyden Lantmeter ende Wijnroeyer.,der stadt Leyden Lantmeter ende Wijnroeyer,der stadt Leyden Lantmeter ende Wijnroeyer,der stadt Leyden Lantmeter ende Wijnroeyer,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,der stadt Leyden Lantmeter ende Wijnroeyer,der stadt Leyden Lantmeter ende Wijnroeyer,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R1068,Leiden_1617,DUTCH,Elements Designation,xv. Boucken der Elementen Euclidis,Elementen Euclidis,Elementen Euclidis,Elementen Euclidis,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,,vande xv. Boucken der Elementen Euclidis,xv. Boucken der Elementen Euclidis,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6
R1179,London_1651,ENGLISH,Other Educational Authorities,JOHN DEE,MR. JOHN DEE,MR. JOHN DEE,MR. JOHN DEE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,MR. JOHN DEE,MR. JOHN DEE,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a16,v6
R0004,Alcala_1637,"DUTCH, LATIN",Base Content,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS DE EVCLIDES,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,orig,"it can also be the working version, its a borderline case",,,,,,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,orig,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
R0019,Amsterdam_1616,DUTCH,Adapter Description,der stadt Leyden Landtmeter ende Wijnroeyer.,der stadt Leyden Landtmeter ende Wijnroeyer,"der stadt Leyden Landtmeter, Wijnroeyer",der stadt Leyden Landtmeter ende Wijnroeyer,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,v5,"there should be a full string match with the text, so punctuations inside the string should be included (suffix/prefix punctoations should be removed)",,,,,,der stadt Leyden Landtmeter ende Wijnroeyer,"der stadt Leyden Landtmeter, Wijnroeyer",v5,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0021,Amsterdam_1616,DUTCH,Base Content Description,"Van nieus oversien, ende verbetert","Van de beginselen ende fondamenten der Geometrie. Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen. Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, lief
hebbers der selver vryer Conste.","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,orig,"the second part is presented as an ""addition"" to the elements",,,,,,"Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen","Van nieus oversien, ende verbetert",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6
R0024,Amsterdam_1616,DUTCH,Edition Statement,"Van nieus oversien, ende verbetert: Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,working,,,,,,,"Van nieus oversien, ende verbetert","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.",working,0,0,718a7718-22cf-424e-a7f1-84e9cf1071c6,v1
R0028,Amsterdam_1616,DUTCH,Intended Audience,"tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste.","van alle leergierighe, lief
hebbers der selver vryer Conste","alle leergierighe, liefhebbers der selver vryer Conste","van alle leergierighe, lief
hebbers der selver vryer Conste",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,working,,,,,,,"alle leergierighe, lief hebbers der selver vryer Conste","van alle leergierighe, lief hebbers der selver vryer Conste",working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a15,v6
R0031,Amsterdam_1616,DUTCH,Verbs,"Overgeset, verclaert, ende uytgeleyt, oversien, verbetert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert","Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,v5,only the verbs should be included,,,,,,"Overgeset, verclaert, uytgeleyt, oversien, verbetert","Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",v5,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0035,Amsterdam_1618,GERMAN,Base Content,Die sechs ersten Bücher EVCLIDIS,"Die sechs ersten Bücher EVCLIDIS,",sechs ersten Bücher EVCLIDIS,"Die sechs ersten Bücher EVCLIDIS,",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,orig,don't include commas/dots at the end,,,,,,Die sechs ersten Bücher EVCLIDIS,Die sechs ersten Bücher EVCLIDIS,orig,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
R0036,Amsterdam_1618,GERMAN,Base Content Description,Niderlandischen andern Edition,"Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici, Von den anfängen vnd fundamenten der Geometriæ","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,Von den anfängen vnd fundamenten der Geometriæ,"Use another value (as specified) - do not include descriptions of Euclid as a person, only of the Elements.",,,,,,"Die sechs ersten Bücher EVCLIDIS, Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici: Von den anfängen vnd fundamenten der Geometriæ",Von den anfängen vnd fundamenten der Geometriæ,custom_preferred_source,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6
R0042,Amsterdam_1618,GERMAN,Enriched With,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,orig,,,,,,,"Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind, Per Demonstra-tiones Lineales","mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6
