edition_id,language,year,city,subject,final_value,final_source,final_reason,concerns,review_notes,review_error_type,Orig_Value,llm_Value_6,llm_Value_7,llm_Value_8
5KCP5R,DUTCH,1553,Antwerp,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final,,,,unknown,,unrelated
5KCP5R,DUTCH,1553,Antwerp,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,primary,primary,primary
5KCP5R,DUTCH,1553,Antwerp,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement,,,,secondary,,unrelated
5V691B,LATIN,1583,Basel,Theoretical Mathematics,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; review-sensitive-category; differs-from-original-csv,"Either secondary or unrelated, it uses Euclid and all, but it is very practice oriented, not aiming to teach theoretical and speculative math concepts",,unrelated,primary,primary,primary
612FNN,ITALIAN,1583,Rome,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
612FNN,ITALIAN,1583,Rome,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
6AMYTJ,FRENCH,1557,Paris,Theoretical Mathematics,secondary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category; differs-from-original-csv,,,unrelated,secondary,secondary,secondary
6PMNRZ,LATIN,1526,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
6PMNRZ,LATIN,1526,Paris,Commercial Mathematics,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; review-sensitive-category,"borderline, its hard to understand it without reading more than the metadata, so maybe unknown is ok",,primary,unrelated,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Architecture,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
6X6R6Y,GERMAN,1547,Nuremberg,Construction,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; review-sensitive-category; differs-from-original-csv,"maybe secondary, it's more theoretucal, less actually how to build.",,unrelated,primary,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Instrument Use,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
6X6R6Y,GERMAN,1547,Nuremberg,Military Engineering,secondary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,primary,secondary,primary,secondary
6X6R6Y,GERMAN,1547,Nuremberg,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
6X6R6Y,GERMAN,1547,Nuremberg,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,secondary,primary,primary,secondary
7Y5IWJ,FRENCH,1582,Antwerp,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
93PZQ5,"LATIN, FRENCH",1505,Toul,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
B9OW5O,GERMAN,1583,Vienna,Architecture,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
B9OW5O,GERMAN,1583,Vienna,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
B9OW5O,GERMAN,1583,Vienna,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,primary,secondary,secondary
C8SLYQ,GERMAN,1531,Simmern,Architecture,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
C8SLYQ,GERMAN,1531,Simmern,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
C8SLYQ,GERMAN,1531,Simmern,Practical Geometry,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; differs-from-original-csv,,,unrelated,primary,primary,primary
DDUZGF,LATIN,1488,Augsburg,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
E4JQEB,FRENCH,1570,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
Ferrara_1587,ITALIAN,1587,Ferrara,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final,,,,unknown,unrelated,unrelated
Ferrara_1587,ITALIAN,1587,Ferrara,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final,,,,unknown,unrelated,unrelated
Ferrara_1587,ITALIAN,1587,Ferrara,Theoretical Mathematics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,primary,primary,primary
GGD02E,ITALIAN,1596,Venice,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
GGD02E,ITALIAN,1596,Venice,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
GGD02E,ITALIAN,1596,Venice,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
GGD02E,ITALIAN,1596,Venice,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
JTRIRS,ITALIAN,1569,Venice,Architecture,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
JTRIRS,ITALIAN,1569,Venice,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
JTRIRS,ITALIAN,1569,Venice,Practical Geometry,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
JXC181,ITALIAN,1569,Venice,Architecture,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,secondary
JXC181,ITALIAN,1569,Venice,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
JXC181,ITALIAN,1569,Venice,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
JZ3MT9,LATIN,1593,Antwerp,Practical Geometry,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; differs-from-original-csv,,,unrelated,primary,primary,primary
JZ3MT9,LATIN,1593,Antwerp,Theoretical Mathematics,secondary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,primary,primary,unrelated,secondary
K7DERJ,GERMAN,1567,Augsburg,Construction,secondary,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category; differs-from-original-csv,,,unrelated,secondary,secondary,secondary
K7DERJ,GERMAN,1567,Augsburg,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
K7DERJ,GERMAN,1567,Augsburg,Practical Geometry,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; differs-from-original-csv,,,unrelated,primary,primary,primary
L3XLGB,FRENCH,1564,Poitiers,Gnomonics & Horology,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
L3XLGB,FRENCH,1564,Poitiers,Instrument Construction,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; differs-from-original-csv,,,unrelated,primary,primary,primary
L3XLGB,FRENCH,1564,Poitiers,Instrument Use,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
L3XLGB,FRENCH,1564,Poitiers,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
L8R7FQ,FRENCH,1556,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
LQNZBJ,FRENCH,1572,Paris,Architecture,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,secondary
LQNZBJ,FRENCH,1572,Paris,Astronomy,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
MIZPJ8,GERMAN,1568,Nuremberg,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
MIZPJ8,GERMAN,1568,Nuremberg,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
MYFHIS,ITALIAN,1584,Venice,Architecture,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
MYFHIS,ITALIAN,1584,Venice,Construction,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; review-sensitive-category; differs-from-original-csv,"maybe secondary, it's more theoretucal, less actually how to build.",,unrelated,primary,unrelated,unrelated
MYFHIS,ITALIAN,1584,Venice,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
MYFHIS,ITALIAN,1584,Venice,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
N000JX,LATIN,1516,Alcala,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,differs-from-original-csv,,,unrelated,primary,primary,primary
N000JX,LATIN,1516,Alcala,Astronomy,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,differs-from-original-csv,,,unrelated,primary,primary,primary
N000JX,LATIN,1516,Alcala,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
N000JX,LATIN,1516,Alcala,Music Theory,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
N000JX,LATIN,1516,Alcala,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
NTML0S,ITALIAN,1600,Venice,Architecture,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
NTML0S,ITALIAN,1600,Venice,Construction,secondary,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,primary,secondary,secondary,unrelated
NTML0S,ITALIAN,1600,Venice,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
NTML0S,ITALIAN,1600,Venice,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
NTML0S,ITALIAN,1600,Venice,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
Nuremberg_1539,GERMAN,1539,Nuremberg,Architecture,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
Nuremberg_1539,GERMAN,1539,Nuremberg,Instrument Use,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,differs-from-original-csv,,,unrelated,secondary,secondary,secondary
Nuremberg_1539,GERMAN,1539,Nuremberg,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
Paris_1532,LATIN,1532,Paris,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
Paris_1532,LATIN,1532,Paris,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
Paris_1532,LATIN,1532,Paris,Practical Geometry,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement,"borderline, its hard to understand it without reading more than the metadata, so maybe unknown is ok",,primary,unknown,unrelated,unrelated
Q4F538,GERMAN,1571,Nuremberg,Architecture,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,secondary
Q4F538,GERMAN,1571,Nuremberg,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
Q4F538,GERMAN,1571,Nuremberg,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,primary,unrelated,unrelated
QWCWLH,"FRENCH, ITALIAN",1545,Paris,Architecture,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,primary,primary,primary
S105XB,GERMAN,1564,Frankfurt,Instrument Use,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,differs-from-original-csv,,,unrelated,primary,primary,primary
S105XB,GERMAN,1564,Frankfurt,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
S105XB,GERMAN,1564,Frankfurt,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
Strasbourg_1529,LATIN,1529,Strasbourg,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,primary,unknown,unrelated,unrelated
TJONV6,FRENCH,1585,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
TMVVZN,ITALIAN,1584,Milan,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
Tours_1593,LATIN,1593,Tours,Theoretical Mathematics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,primary,primary,primary,primary
UEIZFO,FRENCH,1565,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
VWMZ7L,LATIN,1557,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
VWMZ7L,LATIN,1557,Paris,Astronomy,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,differs-from-original-csv,,,unrelated,primary,primary,primary
VWMZ7L,LATIN,1557,Paris,Music Theory,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
VWMZ7L,LATIN,1557,Paris,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
VWMZ7L,LATIN,1557,Paris,Theoretical Mathematics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category; differs-from-original-csv,,,unrelated,primary,primary,primary
Valencia_1569,LATIN,1569,Valencia,Theoretical Mathematics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,unrelated,primary,unrelated,primary
WHEESV,LATIN,1600,Pesaro,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
WHEESV,LATIN,1600,Pesaro,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
WHEESV,LATIN,1600,Pesaro,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
WHEESV,LATIN,1600,Pesaro,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
X2T7PY,LATIN,1586,Rome,Gnomonics & Horology,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
X2T7PY,LATIN,1586,Rome,Instrument Construction,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; differs-from-original-csv,,,unrelated,primary,primary,primary
X2T7PY,LATIN,1586,Rome,Instrument Use,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; differs-from-original-csv,,,unrelated,primary,primary,primary
X2T7PY,LATIN,1586,Rome,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
X5YBIB,FRENCH,1586,Paris,Instrument Use,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,primary,secondary,secondary
X5YBIB,FRENCH,1586,Paris,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
XHZ2XV,LATIN,1592,Tournon,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,primary,primary,primary
XHZ2XV,LATIN,1592,Tournon,Astronomy,unknown,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; unknown-final,,,,primary,unrelated,unknown
XHZ2XV,LATIN,1592,Tournon,Music Theory,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,primary,primary,primary
XHZ2XV,LATIN,1592,Tournon,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement,,,,primary,unrelated,unrelated
XXI4KS,GERMAN,1509,Nuremberg,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
XXI4KS,GERMAN,1509,Nuremberg,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
XXI4KS,GERMAN,1509,Nuremberg,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
YCXMIJ,FRENCH,1565,Paris,Mechanics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,primary,primary,unrelated,primary
YCXMIJ,FRENCH,1565,Paris,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
YPQYIR,FRENCH,1565,Paris,Mechanics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
YQDZSW,FRENCH,1565,Paris,Mechanics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
Z0K13S,LATIN,1543,Nuremberg,Astronomy,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
ZGOHUR,LATIN,1581,Rome,Gnomonics & Horology,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
ZGOHUR,LATIN,1581,Rome,Instrument Use,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,secondary
ZGOHUR,LATIN,1581,Rome,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,differs-from-original-csv,,,unrelated,secondary,secondary,secondary
ZN24V0,GERMAN,1543,Nuremberg,Architecture,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement,,,,primary,secondary,primary
ZN24V0,GERMAN,1543,Nuremberg,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final,,,,unknown,unrelated,unrelated
ZN24V0,GERMAN,1543,Nuremberg,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,primary,primary,primary
ZN24V0,GERMAN,1543,Nuremberg,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,primary,primary,primary
bib-1,FRENCH,1542,Paris,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
bib-10,FRENCH,1570,Paris,Instrument Use,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,primary,secondary,primary
bib-10,FRENCH,1570,Paris,Practical Geometry,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,primary,primary,primary,primary
bib-105,LATIN,1594,Nuremberg,Instrument Use,primary,human_review,human reviewed override from diagnostic CSV,human-reviewed; differs-from-original-csv,,,unrelated,primary,primary,primary
